id,predicted_price
2591820310,356033.7
7974200820,829965.94
7701450110,1474576.4
9522300010,1490278.6
9510861140,790400.1
1761300310,214353.75
7732410120,685578.2
7010701383,910715.44
291310170,418613.38
4232901990,551327.5
6840701125,638018.3
3971700580,486253.0
4202400078,274009.2
6064800090,350679.75
2626119028,267455.1
3303980660,1060599.4
862000020,684570.75
2386000070,1057819.5
1138000450,374086.72
1775800420,491131.56
2291401425,435757.56
2025770560,925543.4
3525069037,704004.1
9324800450,655476.0
8080400136,597364.4
8651540040,472142.8
9407001790,255298.47
1773101530,202055.78
9432900250,300639.88
1794500695,747953.25
2220069003,316762.88
923000120,651577.56
5728000060,582076.9
16000200,233483.02
1926059094,373437.97
6672900220,990418.1
3629860060,666908.44
1822069109,422613.44
6675500105,352139.9
249000180,1664588.5
226059065,449952.88
396100110,282279.38
9264450460,300314.62
7853361210,376581.22
9474700020,259132.19
421000455,247293.72
3755200220,370725.22
7960100075,436189.56
9477100490,348165.5
9138100350,908053.9
1624049275,427409.94
2770606890,528751.1
1157200189,430537.1
2770601800,432420.06
9301300805,608708.44
2325069032,1260423.1
1021079099,465406.22
7215730040,780391.25
1853200080,367711.16
3224600340,762028.5
3222049120,378248.4
2113700025,299413.8
7893207925,183688.81
3586501085,662481.9
8024200010,543959.8
7116500705,170071.78
1598600209,298354.94
7204200025,1145734.2
4206901505,628647.56
2937300440,811706.06
7205000180,237711.69
8718500665,378674.0
5318101765,1196878.9
4122700020,920526.75
8078700020,516509.56
3303980680,973234.75
8924100372,1110127.9
2781270210,214825.88
519000043,468251.94
3225069301,1443488.5
151000075,713486.44
2297400020,387939.1
6617500085,496057.25
104510180,239780.17
3528900060,1022639.25
3345100286,418901.3
1226039130,515222.56
8712100720,1027092.2
3037200010,421600.2
3626039268,437754.8
104510230,259651.94
5112800060,318683.34
6072400280,720933.56
5317100570,1023889.3
9528102993,546605.2
2919201095,547345.94
6181400920,241171.1
185000161,297848.3
8691400010,941143.94
3345700165,487107.47
6151800486,226481.94
4340000080,1220352.5
4136960010,590200.5
3634100030,307342.28
1624059224,1111522.0
2788400090,250119.78
9828200762,488829.3
7524400250,448560.88
3528000290,733786.06
5700003630,1603219.2
2720069019,258144.58
7227501170,219431.78
2397101270,701591.3
6792100090,635247.3
2770602265,738084.25
3971700937,286152.06
422049203,215878.62
3076500830,272469.44
1423400260,302737.6
9161100795,492717.25
3126049052,441101.88
5100401468,455084.03
514500235,447818.03
1423200170,188369.56
1402100070,418270.22
624110020,701327.7
2407000145,225150.61
1890000225,801561.8
1320069271,349942.4
5490700085,362551.72
263000155,574300.0
3726800201,350651.3
5153200358,257260.83
2725079018,721546.4
7165700200,292203.84
9429000170,511999.12
8718500075,343661.25
1760650950,274965.4
1068000559,1334022.4
4113800500,565346.2
4077800507,472582.0
2725069150,765306.56
4008400035,543459.5
7016310270,374461.16
1432701230,233746.14
3278606050,373895.22
2473350710,387936.16
2185000685,203664.22
7792000025,343289.12
6868200029,401082.03
624069003,654698.8
7431500280,750338.9
3296000040,560818.2
1118001215,1264932.8
6453900040,924069.56
333100209,534478.56
34001765,608286.5
8946700100,420717.0
5561401210,606610.0
6671900095,409900.12
3275850020,660203.1
3876300600,368531.25
1450900020,296425.5
8562780280,344318.7
7663700973,374393.3
2126049032,344175.88
1823059159,183341.42
3438503426,247333.83
9297301495,437407.56
7140700850,336909.8
7942601805,791010.94
2555900030,390368.12
2887970040,262012.3
7419700010,665081.75
2239000011,342087.47
9283800050,417416.62
9407001340,307979.03
217500140,515986.2
7212660520,223369.92
3298201170,357868.88
3057000400,326608.97
6865200444,397801.4
6071600340,600462.94
6821600005,729994.7
1235100371,720575.44
7796450340,420669.62
3603000410,208997.02
9297300255,413050.0
9126100850,585098.44
2770601462,436749.8
2599001500,222765.58
1102000095,618753.7
1853080640,1040905.25
9551201585,1068807.8
